name,price,stars,rating_count,feature_bullets
"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink",$,4.8 out of 5 stars,"3,297 global ratings","WHY IPAD — Colorfully reimagined and more versatile than ever, iPad is great for the things you do every day. With an all-screen design, 10.9-inch Liquid Retina display, powerful A14 Bionic chip, superfast Wi-Fi, and four gorgeous colors, iPad delivers a powerful way to create, stay connected, and get things done.,IPADOS + APPS — iPadOS makes iPad more productive, intuitive, and versatile. With iPadOS, run multiple apps at once, use Apple Pencil to write in any text field with Scribble, and edit and share photos. iPad comes with essential apps like Safari, Messages, and Keynote, with over a million more apps available on the App Store.,FAST WI-FI CONNECTIVITY — Wi-Fi 6 gives you fast access to your files, uploads, and downloads, and lets you seamlessly stream your favorite shows.,PERFORMANCE AND STORAGE — The A14 Bionic chip delivers power and performance for any activity. And with all-day battery life, iPad is perfect for playing immersive games and editing photos and videos. Choose from 64GB or 256GB storage options.,APPLE PENCIL AND MAGIC KEYBOARD FOLIO — With Apple Pencil (1st generation), iPad transforms into an immersive drawing canvas and the world’s best note‑taking device. The Magic Keyboard Folio features a versatile two-piece design with a detachable keyboard and a protective back panel that both attach magnetically to iPad.,10.9-INCH LIQUID RETINA DISPLAY — The gorgeous Liquid Retina display is an amazing way to watch movies or draw your next masterpiece. True Tone adjusts the display to the color temperature of the room to make viewing comfortable in any light.,UNLOCK AND PAY WITH TOUCH ID — Touch ID is built into the top button, so you can use your fingerprint to unlock your iPad, sign in to apps, and make payments securely with Apple Pay.,ADVANCED CAMERAS — iPad features a landscape 12MP Ultra Wide front camera that supports Center Stage for videoconferencing and selfies. Shoot 4K video or photos with the 12MP Wide back camera, then edit right on your iPad.,LEGAL DISCLAIMERS — This is a summary of the main product features."
"2019 Apple iPad 7th Gen (10.2 inch, Wi-Fi, 32GB) Silver (Renewed)",$200.72,4.5 out of 5 stars,315 global ratings,"10. 2-inch Retina display,A10 Fusion chip,Touch ID fingerprint sensor,8MP back camera, 1. 2MP FaceTime HD front camera,Stereo speakers"
Apple iPad Air 16GB WiFi Tablet - Space Gray (Renewed),$95.00,3.8 out of 5 stars,440 global ratings,
"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver",$,4.8 out of 5 stars,"42,705 global ratings","WHY IPAD — All the essentials in the most affordable iPad, with a beautiful 10.2-inch Retina display, powerful A13 Bionic chip, and an Ultra Wide front camera with Center Stage. Work, play, create, learn, stay connected, and more.,IPADOS + APPS — iPadOS makes iPad more productive, intuitive, and versatile. With iPadOS, run multiple apps at once, use Apple Pencil to write in any text field with Scribble, and edit and share photos. iPad comes with essential apps like Safari, Messages, and Keynote, with over a million more apps available on the App Store.,FAST WI-FI CONNECTIVITY — Fast Wi-Fi keeps you connected at home, work, school, or wherever you go with your iPad.,PERFORMANCE AND STORAGE — The A13 Bionic chip gives you the graphics performance you need. And with all-day battery life, iPad is perfect for playing immersive games and more. Choose from 64GB or 256GB storage options.,APPLE PENCIL AND SMART KEYBOARD — Apple Pencil (1st generation) transforms iPad into an immersive drawing canvas and the world’s best note‑taking device. The Smart Keyboard features a comfortable typing experience and folds into a slim, lightweight cover for protection.,10.2-INCH RETINA DISPLAY — With incredible detail and vivid colors, it’s perfect for watching movies or drawing your next masterpiece. True Tone adjusts the display to the color temperature of the room to make viewing comfortable in any light.,UNLOCK AND PAY WITH TOUCH ID — Touch ID is built into the top button, so you can use your fingerprint to unlock your iPad, sign in to apps, and make payments securely with Apple Pay.,FRONT AND BACK CAMERAS — iPad features a 12MP Ultra Wide front camera that supports Center Stage for videoconferencing and selfies. The 8MP Wide back camera is perfect for capturing photos, 1080p HD video, and scanning documents.,LEGAL DISCLAIMERS — This is a summary of the main product features."
"Apple iPad Air 2, 64 GB, Space Gray (Renewed)",$155.00,4.4 out of 5 stars,"4,742 global ratings","Apple iOS 8; 9.7-Inch Retina Display; 2048x1536 Resolution,A8X Chip with 64-bit Architecture; M8 Motion Coprocessor,Wi-Fi (802.11a/b/g/n/ac): 16 GB Capacity: 2GB RAM,8 MP iSight Camera; FaceTime HD Camera - Up to 10 Hours of Battery Life"
Apple iPad 9.7inch with WiFi 32GB- Space Gray (2017 Model) (Renewed),$145.00,4.6 out of 5 stars,"10,107 global ratings","9.7-Inch Retina Display, wide Color and True Tone,A9 third-generation chip with 64-bit architecture,M9 motion coprocessor, 1.2MP FaceTime HD Camera,8MP insight Camera, touch ID, Apple Pay"
"2014 Apple iPad Air 2 (9.4 inch, Wi-Fi, 64GB) Silver (Renewed)",$149.99,4.2 out of 5 stars,"1,538 global ratings","Apple iOS 8; 9.7-Inch Retina Display; 2048x1536 Resolution,A8X Chip with 64-bit Architecture; M8 Motion Coprocessor,Wi-Fi (802.11a, b, g, n, ac): 16 GB Capacity: 2GB RAM,8 MP iSight Camera; FaceTime HD Camera - Up to 10 Hours of Battery Life"
"Apple 9.7-inch iPad (Early 2018, 32GB, Wi-Fi Only, Space Gray) MR7F2LL/A (Renewed)",$155.00,4.6 out of 5 stars,"3,210 global ratings","9.7"" Multi-Touch Retina Display 2048 x 1536 Screen Resolution (264 ppi),Apple A10 Fusion SoC and M10 Coprocessor 4G LTE | 802.11ac Wi-Fi | Bluetooth 4.4,Front 1.2MP FaceTime HD Camera Rear 8MP Camera,Apple Pencil Support Night Shift | Touch ID Sensor"
Apple iPad Air 2 16GB Gold Wi-Fi MH0W2HC/A (Refurbished),$133.00,1.0 out of 5 stars,1 global rating,"This Certified Refurbished product is tested and certified to look and work like new. The refurbishing process includes functionality testing, basic cleaning, inspection, and repackaging. The product ships with all relevant accessories, a minimum 90-day warranty, and may arrive in a generic box."
